Date,Close,High,Low,Open,Volume
,TDV-D.CR,TDV-D.CR,TDV-D.CR,TDV-D.CR,TDV-D.CR
2008-01-02,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,1040
2008-01-03,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,0
2008-01-04,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,0
2008-01-07,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,66
2008-01-08,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,272
2008-01-09,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,0
2008-01-10,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,400
2008-01-11,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,500
2008-01-14,1346550898884608.0,2019826348326912.0,1346550898884608.0,1346550898884608.0,2437
2008-01-15,2019826750980096.0,2019826750980096.0,2019826750980096.0,2019826750980096.0,2000
2008-01-16,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,5080
2008-01-17,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,16136
2008-01-18,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,13064
2008-01-21,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,8100
2008-01-22,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,7922
2008-01-23,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,19117
2008-01-24,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,1472
2008-01-25,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,5190
2008-01-28,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,12069
2008-01-29,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,5215
2008-01-30,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,0
2008-01-31,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,3444
2008-02-01,1346550898884608.0,2019826348326912.0,1346550898884608.0,1346550898884608.0,9342
2008-02-06,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,700
2008-02-07,2019826750980096.0,2019826750980096.0,2019826750980096.0,2019826750980096.0,10804
2008-02-08,2019826750980096.0,2019826750980096.0,2019826750980096.0,2019826750980096.0,3371
2008-02-11,2019826750980096.0,2019826750980096.0,2019826750980096.0,2019826750980096.0,3137
2008-02-12,2019826750980096.0,2019826750980096.0,2019826750980096.0,2019826750980096.0,0
2008-02-13,2019826750980096.0,2019826750980096.0,2019826750980096.0,2019826750980096.0,0
2008-02-14,2019826750980096.0,2019826750980096.0,2019826750980096.0,2019826750980096.0,1160
2008-02-15,2019826750980096.0,2019826750980096.0,2019826750980096.0,2019826750980096.0,1066
2008-02-18,2019826750980096.0,2019826750980096.0,2019826750980096.0,2019826750980096.0,2116
2008-02-19,2019826750980096.0,2019826750980096.0,2019826750980096.0,2019826750980096.0,0
2008-02-20,2019826750980096.0,2019826750980096.0,2019826750980096.0,2019826750980096.0,0
2008-02-21,2019826750980096.0,2019826750980096.0,2019826750980096.0,2019826750980096.0,0
2008-02-22,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,19244
2008-02-25,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,0
2008-02-26,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,8501
2008-02-27,1346550898884608.0,2019826348326912.0,1346550898884608.0,1346550898884608.0,5053
2008-02-28,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,15
2008-02-29,1346550898884608.0,1346550898884608.0,1346550898884608.0,1346550898884608.0,6474
2008-03-03,2019826750980096.0,2019826750980096.0,1346551167320064.0,2019826750980096.0,8271
2008-03-04,2019826750980096.0,2019826750980096.0,2019826750980096.0,2019826750980096.0,8423
2008-03-05,2019826750980096.0,2019826750980096.0,2019826750980096.0,2019826750980096.0,714
2008-03-06,2019826750980096.0,2019826750980096.0,2019826750980096.0,2019826750980096.0,200
2008-03-07,2019826750980096.0,2019826750980096.0,2019826750980096.0,2019826750980096.0,2285
2008-03-10,2019826750980096.0,2019826750980096.0,2019826750980096.0,2019826750980096.0,150
2008-03-11,2019826750980096.0,2019826750980096.0,2019826750980096.0,2019826750980096.0,3837
2008-03-12,2693101797769216.0,2693101797769216.0,2019826348326912.0,2693101797769216.0,43437
2008-03-13,2693101797769216.0,2693101797769216.0,2693101797769216.0,2693101797769216.0,40000
2008-03-14,2693101797769216.0,2693101797769216.0,2693101797769216.0,2693101797769216.0,146
2008-03-17,2693101797769216.0,2693101797769216.0,2693101797769216.0,2693101797769216.0,0
