Date,Close,High,Low,Open,Volume
,MVZ-B.CR,MVZ-B.CR,MVZ-B.CR,MVZ-B.CR,MVZ-B.CR
2008-01-03,-inf,-inf,-inf,-inf,253
2008-01-04,-inf,-inf,-inf,-inf,1523
2008-01-07,-inf,-inf,-inf,-inf,3712
2008-01-08,-inf,-inf,-inf,-inf,1674
2008-01-09,-inf,-inf,-inf,-inf,6725
2008-01-10,-inf,-inf,-inf,-inf,6998
2008-01-11,-inf,-inf,-inf,-inf,4459
2008-01-14,-inf,-inf,-inf,-inf,6432
2008-01-15,-inf,-inf,-inf,-inf,2340
2008-01-16,-inf,-inf,-inf,-inf,2950
2008-01-17,-inf,-inf,-inf,-inf,2110
2008-01-18,-inf,-inf,-inf,-inf,1510
2008-01-21,-inf,-inf,-inf,-inf,70
2008-01-22,-inf,-inf,-inf,-inf,27680
2008-01-23,-inf,-inf,-inf,-inf,2162
2008-01-24,-inf,-inf,-inf,-inf,1213
2008-01-25,-inf,-inf,-inf,-inf,959
2008-01-28,-inf,-inf,-inf,-inf,408
2008-01-29,-inf,-inf,-inf,-inf,10770
2008-01-30,-inf,-inf,-inf,-inf,2803
2008-01-31,-inf,-inf,-inf,-inf,3887
2008-02-01,-inf,-inf,-inf,-inf,20320
2008-02-06,-inf,-inf,-inf,-inf,655
2008-02-07,-inf,-inf,-inf,-inf,947
2008-02-08,-inf,-inf,-inf,-inf,429
2008-02-11,-inf,-inf,-inf,-inf,10600
2008-02-12,-inf,-inf,-inf,-inf,24122
2008-02-13,-inf,-inf,-inf,-inf,14902
2008-02-14,-inf,-inf,-inf,-inf,1378
2008-02-15,-inf,-inf,-inf,-inf,1856
2008-02-18,-inf,-inf,-inf,-inf,568
2008-02-19,-inf,-inf,-inf,-inf,5524
2008-02-20,-inf,-inf,-inf,-inf,8845
2008-02-21,-inf,-inf,-inf,-inf,573
2008-02-22,-inf,-inf,-inf,-inf,1774
2008-02-25,-inf,-inf,-inf,-inf,2012
2008-02-26,-inf,-inf,-inf,-inf,3024
2008-02-27,-inf,-inf,-inf,-inf,1050
2008-02-28,-inf,-inf,-inf,-inf,1626
2008-02-29,-inf,-inf,-inf,-inf,3145
2008-03-03,-inf,-inf,-inf,-inf,9212
2008-03-04,-inf,-inf,-inf,-inf,55405
2008-03-05,-inf,-inf,-inf,-inf,15420
2008-03-06,-inf,-inf,-inf,-inf,2027
2008-03-07,-inf,-inf,-inf,-inf,100
2008-03-10,-inf,-inf,-inf,-inf,125
2008-03-11,-inf,-inf,-inf,-inf,111
2008-03-12,-inf,-inf,-inf,-inf,6147
2008-03-13,-inf,-inf,-inf,-inf,3274
2008-03-14,-inf,-inf,-inf,-inf,1000
2008-03-17,-inf,-inf,-inf,-inf,138
2008-03-18,-inf,-inf,-inf,-inf,1272
2008-03-24,-inf,-inf,-inf,-inf,500
2008-03-25,-inf,-inf,-inf,-inf,848
2008-03-26,-inf,-inf,-inf,-inf,1253
2008-03-27,-inf,-inf,-inf,-inf,1355
2008-03-28,-inf,-inf,-inf,-inf,4321
2008-03-31,-inf,-inf,-inf,-inf,7549
2008-04-01,-inf,-inf,-inf,-inf,0
2008-04-02,-inf,-inf,-inf,-inf,1830
2008-04-03,-inf,-inf,-inf,-inf,18671
2008-04-04,-inf,-inf,-inf,-inf,1740
2008-04-07,-inf,-inf,-inf,-inf,2449
2008-04-08,-inf,-inf,-inf,-inf,955
2008-04-09,-inf,-inf,-inf,-inf,140
2008-04-10,-inf,-inf,-inf,-inf,1480
2008-04-11,-inf,-inf,-inf,-inf,406
2008-04-14,-inf,-inf,-inf,-inf,0
2008-04-15,-inf,-inf,-inf,-inf,2237
2008-04-16,-inf,-inf,-inf,-inf,1000
2008-04-17,-inf,-inf,-inf,-inf,1746
2008-04-18,-inf,-inf,-inf,-inf,24840
2008-04-21,-inf,-inf,-inf,-inf,2100
